Form,Item,Stimuli,ItemType,ItemTypeNumber
A,101,spettle,non-word,1
A,102,thecked,non-word,1
A,103,mountain,word,0
A,104,noise,word,0
A,105,beautiful,word,0
A,106,roolaps,non-word,1
A,107,laughed,word,0
A,108,zop,non-word,1
A,109,bope,non-word,1
A,110,quode,non-word,1
A,111,cranter,non-word,1
A,112,hearner,non-word,1
A,113,won,word,0
A,114,sneet,non-word,1
A,115,rubber,word,0
A,116,phleen,non-word,1
A,117,water,word,0
A,118,take,word,0
A,119,fruit,word,0
A,120,umbrella,word,0
A,201,oven,English,0
A,202,codo,Spanish,1
A,203,mesa,Spanish,1
A,204,sun,English,0
A,205,water,English,0
A,206,ducha,Spanish,1
A,207,padre,Spanish,1
A,208,blue,English,0
A,209,frio,Spanish,1
A,210,aunt,English,0
A,211,candy,English,0
A,212,eyes,English,0
A,213,lapiz,Spanish,1
A,214,letter,English,0
A,215,listo,Spanish,1
A,216,playa,Spanish,1
A,217,cat,English,0
A,218,leaves,English,0
A,219,pez,Spanish,1
A,220,mujer,Spanish,1
A,301,boring,familiar,0
A,302,languidly,unfamiliar,1
A,303,talkative,familiar,0
A,304,sallow,unfamiliar,1
A,305,pretending,familiar,0
A,306,indolence,unfamiliar,1
A,307,ogle,unfamiliar,1
A,308,docile,unfamiliar,1
A,309,razed,unfamiliar,1
A,310,guffaw,unfamiliar,1
A,311,chop,familiar,0
A,312,kindled,unfamilar,1
A,313,hated,familiar,0
A,314,placid,unfamiliar,1
A,315,acrid,unfamiliar,1
A,316,clear,familiar,0
A,317,truant,unfamiliar,1
A,318,furrowed,unfamiliar,1
A,319,condone,unfamiliar,1
A,320,nettling,unfamiliar,1
A,401,dress,plausible,0
A,402,bolt,implausible,1
A,403,truck,implausible,1
A,404,book,implausible,1
A,405,broom,implausible,1
A,406,paper,plausible,0
A,407,puppy,plausible,0
A,408,handsaw,implausible,1
A,409,glass,plausible,0
A,410,boots,implausible,1
A,411,saddle,implausible,1
A,412,jogging,implausible,1
A,413,wrench,implausible,1
A,414,hand,implausible,1
A,415,officer,plausible,0
A,416,novel,plausible,0
A,417,shovel,plausible,0
A,418,kettle,plausible,0
A,419,taxi,plausible,0
A,420,boat,plausible,0
B,101,explore,word,0
B,102,crawled,word,0
B,103,floggorn,non-word,1
B,104,ploof,non-word,1
B,105,smotterup,non-word,1
B,106,stronger,word,0
B,107,shalled,non-word,1
B,108,wow,word,0
B,109,ripe,word,0
B,110,stage,word,0
B,111,dentist,word,0
B,112,toaster,word,0
B,113,jub,non-word,1
B,114,court,word,0
B,115,trople,non-word,1
B,116,school,word,0
B,117,klopa,non-word,1
B,118,chup,non-word,1
B,119,grutt,non-word,1
B,120,nepronto,non-word,1
B,201,horno,Spanish,1
B,202,elbow,English,0
B,203,table,English,0
B,204,sol,Spanish,1
B,205,agua,Spanish,1
B,206,shower,English,0
B,207,father,English,0
B,208,azul,Spanish,1
B,209,cold,English,0
B,210,tia,Spanish,1
B,211,dulces,Spanish,1
B,212,ojos,Spanish,1
B,213,pencil,English,0
B,214,carta,Spanish,1
B,215,ready,English,0
B,216,beach,English,0
B,217,gato,Spanish,1
B,218,hojas,Spanish,1
B,219,fish,English,0
B,220,woman,English,0
B,301,mundane,unfamiliar,1
B,302,sleepily,familiar,0
B,303,loquacious,unfamiliar,1
B,304,yellow,familiar,0
B,305,malingering,unfamiliar,1
B,306,laziness,familiar,0
B,307,stare,familiar,0
B,308,gentle,familiar,0
B,309,ruined,familiar,0
B,310,laugh,familiar,0
B,311,mince,unfamiliar,1
B,312,started,familiar,0
B,313,abhored,unfamiliar,1
B,314,calm,familiar,0
B,315,sour,familiar,0
B,316,lucid,unfamiliar,1
B,317,absent,familiar,0
B,318,wrinkled,familiar,0
B,319,support,familiar,0
B,320,annnoying,familiar,0
B,401,plant,implausible,1
B,402,blade,plausible,0
B,403,plane,plausible,0
B,404,ball,plausible,0
B,405,sponge,plausible,0
B,406,pencil,implausible,1
B,407,kitten,implausible,1
B,408,hammer,plausible,0
B,409,plate,implausible,1
B,410,sheets,plausible,0
B,411,paddle,plausible,0
B,412,football,plausible,0
B,413,needle,plausible,0
B,414,foot,plausible,0
B,415,minister,implausible,1
B,416,movie,implausible,1
B,417,blower,implausible,1
B,418,shoes,implausible,1
B,419,kayak,implausible,1
B,420,bike,implausible,1